Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20000,216,0,1685,305.23,0.000%,834.79422,141.61,221.74,173.7
TOTAL,20000,216,0,1685,305.23,0.000%,834.79422,141.61,221.74,173.7
