timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752172196990,17,HTTP Request,200,,Thread Group 1-19,text,true,,351,638,27,27,http://localhost:8081/transactions,17,0,0
1752172196966,42,HTTP Request,200,,Thread Group 1-22,text,true,,351,638,27,27,http://localhost:8081/transactions,42,0,2
1752172196991,18,HTTP Request,200,,Thread Group 1-21,text,true,,351,638,28,28,http://localhost:8081/transactions,18,0,0
1752172196970,39,HTTP Request,200,,Thread Group 1-10,text,true,,351,638,28,28,http://localhost:8081/transactions,39,0,0
1752172196989,21,HTTP Request,200,,Thread Group 1-1,text,true,,351,638,28,28,http://localhost:8081/transactions,21,0,0
1752172196971,39,HTTP Request,200,,Thread Group 1-23,text,true,,351,638,28,28,http://localhost:8081/transactions,39,0,1
1752172196989,22,HTTP Request,200,,Thread Group 1-17,text,true,,351,638,28,28,http://localhost:8081/transactions,22,0,0
1752172196987,25,HTTP Request,200,,Thread Group 1-20,text,true,,351,638,28,28,http://localhost:8081/transactions,25,0,0
1752172196971,44,HTTP Request,200,,Thread Group 1-6,text,true,,351,638,28,28,http://localhost:8081/transactions,44,0,0
1752172196988,27,HTTP Request,200,,Thread Group 1-18,text,true,,351,638,28,28,http://localhost:8081/transactions,27,0,0
1752172196995,22,HTTP Request,200,,Thread Group 1-7,text,true,,351,638,28,28,http://localhost:8081/transactions,22,0,0
1752172196986,31,HTTP Request,200,,Thread Group 1-26,text,true,,351,638,28,28,http://localhost:8081/transactions,31,0,2
1752172196996,33,HTTP Request,200,,Thread Group 1-3,text,true,,351,638,30,30,http://localhost:8081/transactions,33,0,0
1752172197009,20,HTTP Request,200,,Thread Group 1-10,text,true,,351,638,30,30,http://localhost:8081/transactions,20,0,0
1752172196976,55,HTTP Request,200,,Thread Group 1-24,text,true,,351,638,30,30,http://localhost:8081/transactions,55,0,1
1752172197009,25,HTTP Request,200,,Thread Group 1-22,text,true,,351,638,30,30,http://localhost:8081/transactions,25,0,0
1752172197018,18,HTTP Request,200,,Thread Group 1-26,text,true,,351,638,31,31,http://localhost:8081/transactions,18,0,0
1752172197008,29,HTTP Request,200,,Thread Group 1-19,text,true,,351,638,31,31,http://localhost:8081/transactions,29,0,0
